product_id,product_name,product_picture,product_picture,product_category, product_price ,product_description1,product_description2,product_description3,product_description4,product_status,product_new,product_featured,product_sale_price,product_bulk_quantity,product_bulk_price
1216,Myojo Menjin Rich Aroma Soy Sauce Ramen 浓香酱油 120g,1216-1,1216-2,noodles/soup,9,,,,,true,true,false,0,0,0
1301,Nitto Matcha Au Lait 抹茶 120g,1301-1,1301-2,beverages,17,10sticks/pkt,,,,true,true,false,0,0,0
1302,Nitto Royal Milk Tea 奶茶 160g,1302-1,1302-2,beverages,18,10sticks/pkt,,,,true,true,false,0,0,0
1303,Blendy Potion Matcha Au Lait 抹茶 140g,1303-1,1303-2,beverages,12.5,7pcs/pkt,,,,true,true,false,0,0,0
1304,Oi Ocha Roasted Green Tea Tea Bag,1304-1,1304-2,beverages,15,20pkts/box,,,,true,true,false,0,0,0
1305,Oi Ocha Green Tea w/ Roasted Rice and Matcha Tea Bag 玄米茶 ,1305-1,1305-2,beverages,15,20pkts/box,,,,true,true,false,0,0,0
1306,Premium Matcha Green Tea 绿茶,1306-1,1306-2,beverages,19,20bags/box,,,,true,true,false,0,0,0
1307,Premium Matcha Green Tea with Roasted Rice 玄米茶 ,1307-1,1307-2,beverages,19,20bags/box,,,,true,true,false,0,0,0
1308,Choya Umeshu Premium 梅酒 350mL,1308-1,1308-2,beverages,17.5,,,,,true,true,false,0,0,0
515a,Cheese Meatball 芝士猪肉丸 200g,515a-1,515a-2,meat,6.7,,,,,true,true,false,0,0,0
515a,Cheese Meatball 芝士猪肉丸 200g,515a-1,515a-2,hotpot,6.7,,,,,true,true,false,0,0,0
