product_id,product_name,product_picture,product_picture,product_category, product_price ,product_description1,product_description2,product_description3,product_description4,product_status,product_new,product_featured,product_sale_price,product_bulk_quantity,product_bulk_price,
302,Prawn Meat 虾肉 L,302-1,,shellfish, 40.00 ,±45pcs/pkt,,,,true,,true,0,0,0,
303,Prawn Meat 虾肉 M,303-1,,shellfish, 38.00 ,±50pcs/pkt,,,,true,,,0,0,0,
304,Prawn Meat 虾肉 S,304-1,,shellfish, 35.00 ,,,,,false,,,0,0,0,
305,Prawn Meat 虾肉 XS,305-1,,shellfish, 28.00 ,,,,,true,,,0,0,0,
306,Ebi Tempura 香脆面包虾,306-1,,shellfish, 10.00 ,8 pcs/pkt,,,,true,,true,0,0,0,
307,Fresh Oyster Meat 蠔肉 1.8kg,307-1,,shellfish, 88.00 ,excluded from promotions,1.4-1.5kg nett oyster meat,,,false,,,0,0,0,
308,Mantis Prawn Meat Fresh 新鲜虾姑肉 1kg,308-1,308-2,shellfish, 20.00 ,,,,,true,,,0,0,0,
309,Scampi U7 大头虾 ±250g/nos*,309-1,,shellfish, 17.50 ,order by nos,RM70/kg,*Estimated price only *Final price will be based on actual weight,,false,,,0,0,0,
310,Lobster 龙虾 700g up/nos*,310-1,310-2,shellfish, 70.00 ,order by nos,RM100/kg,*Estimated price only *Final price will be based on actual weight,,false,,,0,0,0,
311,Lobster 龙虾 400-500g/nos*,311-1,311-2,shellfish, 45.00 ,order by nos,RM90/kg,*Estimated price only *Final price will be based on actual weight,,true,,,0,0,0,
312,Mala Crayfish Tailmeat  麻辣虾尾 300g,312-1,,shellfish, 30.00 ,,,,,true,,,27,0,0,
313,Garlic Crayfish Whole 蒜香小龙虾 700g,313-1,313-2,shellfish, 40.00 ,,,,,true,,,37,0,0,
314,Spicy Crayfish Whole 麻辣小龙虾700g,314-1,314-2,shellfish, 40.00 ,,,,,false,,,37,0,0,
315,Thirteen Spices Crayfish Whole 十三香小龙虾 700g,315-1,315-2,shellfish, 40.00 ,,,,,true,,,37,0,0,
316,Clam (Lala) 啦啦 500g,316-1,,shellfish, 8.00 ,,,,,true,,,0,0,0,
317,Spicy Clam with Shell 啦啦(辣味) 400g,317-1,,shellfish, 10.00 ,,,,,true,,,0,0,0,
318,Premium Black Mussels 贻贝 907g,318-1,,shellfish, 20.00 ,,,,,true,,,0,0,0,
319,Crab Meat (Mix) 螃蟹肉 400g,319-1,319-2,shellfish, 30.00 ,,,,,flase,,,0,0,0,
320,Crab meat (Red) 螃蟹肉 (蟹钳肉) 400g,320-1,320-2,shellfish, 28.00 ,,,,,true,,,0,0,0,
321,Crab Meat (White) 螃蟹肉 (白蟹肉) 400g,321-1,321-2,shellfish, 28.00 ,,,,,true,,,0,0,0,
